OBJECTID,Enabled,Shape_Length
208,1,309.492219968452280
209,1,91.676849584456775
210,1,307.389797592551700
211,1,426.504808339719260
212,1,390.615809478588120
213,1,36.055411257787696
214,1,257.736975599185090
215,1,700.111781321868420
216,1,171.301751976132860
217,1,282.887621134421120
218,1,80.391998736561732
219,1,10.166089789819281
220,1,8.860182715109060
221,1,53.596301114881186
222,1,10.405313302547224
223,1,63.605832403520189
224,1,74.569147027149896
225,1,372.074998667399030
226,1,127.086747700101440
227,1,248.221653827768990
228,1,346.615369258774930
229,1,50.020344415364065
230,1,831.771373614423850
231,1,745.168933469563400
232,1,401.445362121553160
233,1,746.611789249895200
234,1,281.882875908721810
235,1,39.614609853356541
236,1,184.750891656529550
237,1,765.024986791987770
238,1,78.930381145932586
239,1,39.538931447098271
240,1,1496.966756723407600
241,1,1115.252892155777500
242,1,177.480276510290050
243,1,409.774332599398970
244,1,37.378576489335444
245,1,397.308895568123890
246,1,65.904956395027611
247,1,156.497843460709330
248,1,222.133635101427270
249,1,33.545516065880506
250,1,158.087940059988450
251,1,169.007703231102770
252,1,189.110696390581520
253,1,262.489285826924800
254,1,304.177711361463370
255,1,32.445241982813073
256,1,135.919923365754300
257,1,435.004157878199410
258,1,841.931198642835620
