OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,DS,US
343,174,102,0,1,102,0
344,175,120,0,1,120,0
345,175,159,0,1,120,159
346,175,160,0,1,120,160
347,176,221,0,1,221,0
348,177,221,0,1,243,221
349,177,243,0,1,243,0
350,177,245,0,1,243,245
351,178,218,0,1,218,0
352,179,102,0,1,240,102
353,179,110,0,1,240,110
354,179,240,0,1,240,0
355,180,142,0,1,142,0
356,180,218,0,1,142,218
357,180,243,0,1,142,243
358,181,219,0,1,219,0
359,182,142,0,1,143,142
360,182,143,0,1,143,0
361,182,219,0,1,143,219
362,183,159,0,1,159,0
363,184,220,0,1,220,0
364,185,143,0,1,144,143
365,185,144,0,1,144,0
366,185,220,0,1,144,220
367,186,56,0,1,56,0
368,187,56,0,1,147,56
369,187,144,0,1,147,144
370,187,147,0,1,147,0
371,188,222,0,1,222,0
372,189,147,0,1,148,147
373,189,148,0,1,148,0
374,189,222,0,1,148,222
375,190,148,0,1,149,148
376,190,149,0,1,149,0
377,190,223,0,1,149,223
378,191,223,0,1,223,0
379,192,121,0,1,122,121
380,192,122,0,1,122,0
381,192,126,0,1,122,126
382,193,124,0,1,167,124
383,193,166,0,1,167,166
384,193,167,0,1,167,0
385,194,139,0,1,139,0
386,194,150,0,1,139,150
387,194,241,0,1,139,241
388,195,161,0,1,161,0
389,196,189,0,1,189,0
390,197,173,0,1,173,0
391,198,204,0,1,204,0
392,199,72,0,1,72,0
393,200,127,0,1,127,0
394,200,172,0,1,127,172
395,200,173,0,1,127,173
396,201,68,0,1,68,0
397,202,68,0,1,69,68
398,202,69,0,1,69,0
399,202,73,0,1,69,73
400,203,128,0,1,130,128
401,203,130,0,1,130,0
402,203,196,0,1,130,196
403,204,131,0,1,207,131
404,204,204,0,1,207,204
405,204,207,0,1,207,0
406,205,59,0,1,59,0
407,206,138,0,1,138,0
408,206,140,0,1,138,140
409,206,208,0,1,138,208
410,207,67,0,1,225,67
411,207,70,0,1,225,70
412,207,225,0,1,225,0
413,208,67,0,1,67,0
414,209,57,0,1,224,57
415,209,59,0,1,224,59
416,209,224,0,1,224,0
417,210,224,0,1,226,224
418,210,225,0,1,226,225
419,210,226,0,1,226,0
420,211,57,0,1,57,0
421,212,138,0,1,145,138
422,212,145,0,1,145,0
423,212,227,0,1,145,227
424,213,228,0,1,228,0
425,214,146,0,1,153,146
426,214,153,0,1,153,0
427,214,228,0,1,153,228
428,215,15,0,1,15,0
429,216,87,0,1,87,0
430,217,85,0,1,85,0
431,218,85,0,1,86,85
432,218,86,0,1,86,0
433,218,87,0,1,86,87
434,219,84,0,1,84,0
435,220,83,0,1,83,0
436,220,84,0,1,83,84
437,220,86,0,1,83,86
438,221,187,0,1,187,0
439,222,81,0,1,81,0
440,223,77,0,1,77,0
441,223,78,0,1,77,78
442,223,83,0,1,77,83
443,224,78,0,1,78,0
444,225,76,0,1,76,0
445,225,77,0,1,76,77
446,225,81,0,1,76,81
447,226,76,0,1,230,76
448,226,230,0,1,230,0
449,227,31,0,1,31,0
450,228,33,0,1,33,0
451,229,31,0,1,34,31
452,229,33,0,1,34,33
453,229,34,0,1,34,0
454,230,205,0,1,205,0
455,231,14,0,1,14,0
456,232,137,0,1,137,0
457,232,153,0,1,137,153
458,232,205,0,1,137,205
459,233,14,0,1,26,14
460,233,21,0,1,26,21
461,233,26,0,1,26,0
462,234,58,0,1,58,0
463,235,29,0,1,29,0
464,236,27,0,1,28,27
465,236,28,0,1,28,0
466,236,29,0,1,28,29
467,237,66,0,1,66,0
468,238,63,0,1,63,0
469,239,32,0,1,32,0
470,240,64,0,1,64,0
471,240,66,0,1,64,66
472,240,231,0,1,64,231
473,241,60,0,1,60,0
474,241,63,0,1,60,63
475,241,65,0,1,60,65
476,242,28,0,1,201,28
477,242,32,0,1,201,32
478,242,34,0,1,201,34
479,242,201,0,1,201,0
480,243,58,0,1,210,58
481,243,61,0,1,210,61
482,243,210,0,1,210,0
483,244,37,0,1,37,0
484,245,136,0,1,136,0
485,245,137,0,1,136,137
486,245,201,0,1,136,201
487,246,54,0,1,54,0
